Date,Closing Price
1994-08-17,11.201
1994-08-18,11.163
1994-08-19,11.18
1994-08-22,11.139
1994-08-23,11.092
1994-08-24,11.25
1994-08-25,11.117
1994-08-26,11.227
1994-08-29,11.227
1994-08-30,11.201
1994-08-31,11.18
1994-09-01,11.18
1994-09-02,11.18
1994-09-06,11.201
1994-09-07,11.273
1994-09-08,11.273
1994-09-09,11.163
1994-09-12,11.069
1994-09-13,11.092
1994-09-14,11.046
1994-09-15,11.18
1994-09-16,11.321
1994-09-19,11.18
1994-09-20,11.024
1994-09-21,10.952
1994-09-22,10.879
1994-09-23,10.879
1994-09-26,10.927
1994-09-27,10.81
1994-09-28,10.905
1994-09-29,10.879
1994-09-30,10.81
1994-10-03,10.857
1994-10-04,10.685
1994-10-05,10.685
1994-10-06,10.741
1994-10-07,11.024
1994-10-10,11.024
1994-10-11,11.092
1994-10-12,11.024
1994-10-13,11.201
1994-10-14,11.273
1994-10-17,11.25
1994-10-18,11.227
1994-10-19,11.18
1994-10-20,11.25
1994-10-21,11.25
1994-10-24,11.18
1994-10-25,11.344
1994-10-26,11.509
1994-10-27,11.674
1994-10-28,11.767
1994-10-31,11.814
1994-11-01,11.603
1994-11-02,11.65
1994-11-03,11.767
1994-11-04,11.555
1994-11-07,11.486
1994-11-08,11.415
1994-11-09,11.321
1994-11-10,11.18
1994-11-11,11.163
1994-11-14,11.227
1994-11-15,11.25
1994-11-16,11.391
1994-11-17,11.44
1994-11-18,11.391
1994-11-21,11.344
1994-11-22,11.368
1994-11-23,11.368
1994-11-25,11.415
1994-11-28,11.415
1994-11-29,11.368
1994-11-30,11.344
1994-12-01,11.163
1994-12-02,11.344
1994-12-05,11.227
1994-12-06,11.296
1994-12-07,11.415
1994-12-08,11.44
1994-12-09,11.579
1994-12-12,11.65
1994-12-13,11.46
1994-12-14,11.46
1994-12-15,11.391
1994-12-16,11.603
1994-12-19,11.555
1994-12-20,11.509
1994-12-21,11.555
1994-12-22,11.579
1994-12-23,11.555
1994-12-27,11.603
1994-12-28,11.603
1994-12-29,11.534
1994-12-30,11.415
1995-01-03,11.391
1995-01-04,11.44
1995-01-05,11.46
1995-01-06,11.46
1995-01-09,11.368
1995-01-10,11.415
1995-01-11,11.344
1995-01-12,11.344
1995-01-13,11.44
1995-01-16,11.415
1995-01-17,11.534
1995-01-18,11.674
1995-01-19,11.674
1995-01-20,11.79
1995-01-23,11.979
1995-01-24,11.745
1995-01-25,11.79
1995-01-26,11.862
1995-01-27,11.745
1995-01-30,11.745
1995-01-31,11.745
1995-02-01,11.674
1995-02-02,11.603
1995-02-03,11.79
1995-02-06,11.674
1995-02-07,11.696
1995-02-08,11.745
1995-02-09,11.603
1995-02-10,11.628
1995-02-13,11.745
1995-02-14,11.814
1995-02-15,11.91
1995-02-16,12.027
1995-02-17,11.91
1995-02-21,12.027
1995-02-22,12.051
1995-02-23,11.979
1995-02-24,11.91
1995-02-27,11.957
1995-02-28,12.003
1995-03-01,11.949
1995-03-02,11.91
1995-03-03,11.886
1995-03-06,12.027
1995-03-07,12.027
1995-03-08,12.167
1995-03-09,12.122
1995-03-10,12.216
1995-03-13,12.191
1995-03-14,12.167
1995-03-15,12.122
1995-03-16,12.263
1995-03-17,12.263
1995-03-20,12.241
1995-03-21,12.122
1995-03-22,12.333
1995-03-23,12.31
1995-03-24,12.381
1995-03-27,12.475
1995-03-28,12.404
1995-03-29,12.475
1995-03-30,12.427
1995-03-31,12.514
1995-04-03,12.451
1995-04-04,12.633
1995-04-05,12.773
1995-04-06,12.537
1995-04-07,12.559
1995-04-10,12.559
1995-04-11,12.537
1995-04-12,12.559
1995-04-13,12.609
1995-04-17,12.633
1995-04-18,12.773
1995-04-19,12.867
1995-04-20,13.112
1995-04-21,13.011
1995-04-24,13.079
1995-04-25,13.155
1995-04-26,13.112
1995-04-27,13.079
1995-04-28,13.053
1995-05-01,13.324
1995-05-02,13.324
1995-05-03,13.299
1995-05-04,13.347
1995-05-05,13.347
1995-05-08,13.369
1995-05-09,13.136
1995-05-10,13.204
1995-05-11,13.136
1995-05-12,13.136
1995-05-15,13.252
1995-05-16,13.393
1995-05-17,13.393
1995-05-18,13.273
1995-05-19,13.155
1995-05-22,13.136
1995-05-23,13.347
1995-05-24,13.44
1995-05-25,13.417
1995-05-26,13.112
1995-05-30,13.204
1995-05-31,13.417
1995-06-01,13.393
1995-06-02,13.273
1995-06-05,13.347
1995-06-06,13.299
1995-06-07,13.347
1995-06-08,13.369
1995-06-09,13.273
1995-06-12,13.232
1995-06-13,13.252
1995-06-14,13.273
1995-06-15,13.417
1995-06-16,13.558
1995-06-19,13.463
1995-06-20,13.18
1995-06-21,13.011
1995-06-22,12.959
1995-06-23,13.112
1995-06-26,13.18
1995-06-27,13.273
1995-06-28,13.558
1995-06-29,13.533
1995-06-30,13.273
1995-07-03,13.324
1995-07-05,13.299
1995-07-06,13.582
1995-07-07,13.463
1995-07-10,13.324
1995-07-11,13.417
1995-07-12,13.512
1995-07-13,13.512
1995-07-14,13.463
1995-07-17,13.582
1995-07-18,13.489
1995-07-19,13.606
1995-07-20,13.747
1995-07-21,13.77
1995-07-24,13.675
1995-07-25,13.606
1995-07-26,13.7
1995-07-27,13.675
1995-07-28,13.512
1995-07-31,13.629
1995-08-01,13.417
1995-08-02,13.393
1995-08-03,13.417
1995-08-04,13.273
1995-08-07,13.252
1995-08-08,13.232
1995-08-09,13.324
1995-08-10,13.155
1995-08-11,13.034
1995-08-14,13.136
1995-08-15,13.079
1995-08-16,13.011
1995-08-17,12.891
1995-08-18,12.94
1995-08-21,12.915
1995-08-22,12.891
1995-08-23,12.842
1995-08-24,12.891
1995-08-25,13.053
1995-08-28,12.94
1995-08-29,12.915
1995-08-30,12.891
1995-08-31,12.915
1995-09-01,13.112
1995-09-05,13.232
1995-09-06,13.204
1995-09-07,13.417
1995-09-08,13.393
1995-09-11,13.44
1995-09-12,13.652
1995-09-13,13.793
1995-09-14,13.88
1995-09-15,13.832
1995-09-18,13.652
1995-09-19,13.77
1995-09-20,13.722
1995-09-21,13.652
1995-09-22,13.606
1995-09-25,13.675
1995-09-26,13.489
1995-09-27,13.533
1995-09-28,13.629
1995-09-29,13.582
1995-10-02,13.489
1995-10-03,13.606
1995-10-04,13.811
1995-10-05,13.77
1995-10-06,13.832
1995-10-09,13.811
1995-10-10,13.857
1995-10-11,13.77
1995-10-12,13.722
1995-10-13,14.044
1995-10-16,13.997
1995-10-17,14.044
1995-10-18,14.044
1995-10-19,14.114
1995-10-20,14.232
1995-10-23,14.094
1995-10-24,14.232
1995-10-25,14.377
1995-10-26,14.094
1995-10-27,14.021
1995-10-30,14.282
1995-10-31,14.351
1995-11-01,14.42
1995-11-02,14.138
1995-11-03,14.303
1995-11-06,14.163
1995-11-07,14.021
1995-11-08,14.399
1995-11-09,14.258
1995-11-10,14.187
1995-11-13,14.351
1995-11-14,14.42
1995-11-15,14.61
1995-11-16,14.632
1995-11-17,14.916
1995-11-20,14.916
1995-11-21,14.987
1995-11-22,14.799
1995-11-24,14.776
1995-11-27,14.869
1995-11-28,14.869
1995-11-29,14.799
1995-11-30,14.538
1995-12-01,14.61
1995-12-04,14.776
1995-12-05,14.987
1995-12-06,15.129
1995-12-07,15.173
1995-12-08,15.357
1995-12-11,15.809
1995-12-12,15.882
1995-12-13,16.118
1995-12-14,15.599
1995-12-15,15.452
1995-12-18,15.167
1995-12-19,15.402
1995-12-20,15.104
